id,title,authors_id,referenced_works,related_works,cited_by_api_url
https://openalex.org/W2216946510,A random forest guided tour,"['https://openalex.org/A5007814380', 'https://openalex.org/A5075232248']","['https://openalex.org/W13188192', 'https://openalex.org/W1484867920', 'https://openalex.org/W1489463871', 'https://openalex.org/W1497261839', 'https://openalex.org/W1520812622', 'https://openalex.org/W1534477342', 'https://openalex.org/W1564947197', 'https://openalex.org/W1580948147', 'https://openalex.org/W1596201720', 'https://openalex.org/W1819522214', 'https://openalex.org/W1843031944', 'https://openalex.org/W1875028359', 'https://openalex.org/W1885645786', 'https://openalex.org/W1945743190', 'https://openalex.org/W1967689506', 'https://openalex.org/W1971713783', 'https://openalex.org/W1974614303', 'https://openalex.org/W1976687792', 'https://openalex.org/W1980485115', 'https://openalex.org/W1981143068', 'https://openalex.org/W1983805560', 'https://openalex.org/W1985372952', 'https://openalex.org/W1988195734', 'https://openalex.org/W1996031526', 'https://openalex.org/W2012327117', 'https://openalex.org/W2022604714', 'https://openalex.org/W2026925128', 'https://openalex.org/W2038845890', 'https://openalex.org/W2043175314', 'https://openalex.org/W2043935204', 'https://openalex.org/W2047081748', 'https://openalex.org/W2051177122', 'https://openalex.org/W2056132907', 'https://openalex.org/W2058772015', 'https://openalex.org/W2059507684', 'https://openalex.org/W2059989526', 'https://openalex.org/W2072154218', 'https://openalex.org/W2076713766', 'https://openalex.org/W2080791146', 'https://openalex.org/W2098238896', 'https://openalex.org/W2113242816', 'https://openalex.org/W2116660956', 'https://openalex.org/W2117897510', 'https://openalex.org/W2120109874', 'https://openalex.org/W2120240539', 'https://openalex.org/W2123998733', 'https://openalex.org/W2124181495', 'https://openalex.org/W2128207034', 'https://openalex.org/W2131472136', 'https://openalex.org/W2139086914', 'https://openalex.org/W2143426320', 'https://openalex.org/W2143481518', 'https://openalex.org/W2146774335', 'https://openalex.org/W2148564254', 'https://openalex.org/W2155261478', 'https://openalex.org/W2155419203', 'https://openalex.org/W2156332695', 'https://openalex.org/W2158743182', 'https://openalex.org/W2161548576', 'https://openalex.org/W2162152641', 'https://openalex.org/W2162387923', 'https://openalex.org/W2166680439', 'https://openalex.org/W2169281690', 'https://openalex.org/W2171558600', 'https://openalex.org/W2172156083', 'https://openalex.org/W2220051020', 'https://openalex.org/W2294581849', 'https://openalex.org/W2787894218', 'https://openalex.org/W2911964244', 'https://openalex.org/W2964324311', 'https://openalex.org/W3037609093', 'https://openalex.org/W3037865656', 'https://openalex.org/W3099478002', 'https://openalex.org/W3099763098', 'https://openalex.org/W3102708157', 'https://openalex.org/W4231109964', 'https://openalex.org/W4231580960', 'https://openalex.org/W4244313837', 'https://openalex.org/W4251695027', 'https://openalex.org/W4293171766', 'https://openalex.org/W429766147', 'https://openalex.org/W4297957988']","['https://openalex.org/W4388745254', 'https://openalex.org/W4388550696', 'https://openalex.org/W4366990902', 'https://openalex.org/W4321636153', 'https://openalex.org/W4317732970', 'https://openalex.org/W2980082554', 'https://openalex.org/W2767419625', 'https://openalex.org/W2389704471', 'https://openalex.org/W2117019857', 'https://openalex.org/W1517228774']",https://api.openalex.org/works?filter=cites:W2216946510
https://openalex.org/W2162387923,Consistency of random forests,"['https://openalex.org/A5075232248', 'https://openalex.org/A5007814380', 'https://openalex.org/A5037864869']","['https://openalex.org/W1484867920', 'https://openalex.org/W1520812622', 'https://openalex.org/W1564947197', 'https://openalex.org/W1967689506', 'https://openalex.org/W1983805560', 'https://openalex.org/W1988195734', 'https://openalex.org/W2043175314', 'https://openalex.org/W2047081748', 'https://openalex.org/W2056132907', 'https://openalex.org/W2059507684', 'https://openalex.org/W2059989526', 'https://openalex.org/W2065274576', 'https://openalex.org/W2076713766', 'https://openalex.org/W2080446417', 'https://openalex.org/W2080791146', 'https://openalex.org/W2124181495', 'https://openalex.org/W2139086914', 'https://openalex.org/W2146774335', 'https://openalex.org/W2161548576', 'https://openalex.org/W2166163519', 'https://openalex.org/W3099478002', 'https://openalex.org/W4212883601', 'https://openalex.org/W4233450617', 'https://openalex.org/W4244313837']","['https://openalex.org/W4388550696', 'https://openalex.org/W4386259002', 'https://openalex.org/W4384470695', 'https://openalex.org/W4366990902', 'https://openalex.org/W4366979180', 'https://openalex.org/W4321636153', 'https://openalex.org/W4317732970', 'https://openalex.org/W4313289487', 'https://openalex.org/W3193043704', 'https://openalex.org/W3134840015']",https://api.openalex.org/works?filter=cites:W2162387923
https://openalex.org/W2149446614,Consistency of random forests and other averaging classifiers,"['https://openalex.org/A5007814380', 'https://openalex.org/A5070394029', 'https://openalex.org/A5034680608']","['https://openalex.org/W1534477342', 'https://openalex.org/W1564947197', 'https://openalex.org/W1573647811', 'https://openalex.org/W1597637931', 'https://openalex.org/W1605688901', 'https://openalex.org/W2047081748', 'https://openalex.org/W2048858877', 'https://openalex.org/W2059507684', 'https://openalex.org/W2060242260', 'https://openalex.org/W2112076978', 'https://openalex.org/W2120240539', 'https://openalex.org/W2122858723', 'https://openalex.org/W2911964244', 'https://openalex.org/W2912934387']","['https://openalex.org/W4386259002', 'https://openalex.org/W4308716060', 'https://openalex.org/W3193043704', 'https://openalex.org/W3171520305', 'https://openalex.org/W3135126032', 'https://openalex.org/W2382521049', 'https://openalex.org/W2144385241', 'https://openalex.org/W1924178503', 'https://openalex.org/W1585007175', 'https://openalex.org/W1546989560']",https://api.openalex.org/works?filter=cites:W2149446614
https://openalex.org/W2214916291,Analysis of a Random Forests Model,['https://openalex.org/A5007814380'],"['https://openalex.org/W1484867920', 'https://openalex.org/W1510073064', 'https://openalex.org/W1520812622', 'https://openalex.org/W1555033159', 'https://openalex.org/W1564947197', 'https://openalex.org/W1573647811', 'https://openalex.org/W1594031697', 'https://openalex.org/W1594563152', 'https://openalex.org/W1605688901', 'https://openalex.org/W1678131841', 'https://openalex.org/W193120421', 'https://openalex.org/W1967689506', 'https://openalex.org/W1976709621', 'https://openalex.org/W1988195734', 'https://openalex.org/W2017685719', 'https://openalex.org/W2043175314', 'https://openalex.org/W2047081748', 'https://openalex.org/W2056963858', 'https://openalex.org/W2102201073', 'https://openalex.org/W2112076978', 'https://openalex.org/W2113242816', 'https://openalex.org/W2116581043', 'https://openalex.org/W2120240539', 'https://openalex.org/W2122858723', 'https://openalex.org/W2128025294', 'https://openalex.org/W2128985829', 'https://openalex.org/W2135046866', 'https://openalex.org/W2149446614', 'https://openalex.org/W2155261478', 'https://openalex.org/W2188723048', 'https://openalex.org/W2911964244', 'https://openalex.org/W2912934387', 'https://openalex.org/W3085162807', 'https://openalex.org/W3101040439', 'https://openalex.org/W3105340263', 'https://openalex.org/W39337161']","['https://openalex.org/W4386259002', 'https://openalex.org/W4308716060', 'https://openalex.org/W3193043704', 'https://openalex.org/W3171520305', 'https://openalex.org/W2748952813', 'https://openalex.org/W2390279801', 'https://openalex.org/W2376932109', 'https://openalex.org/W2358668433', 'https://openalex.org/W1924178503', 'https://openalex.org/W1546989560']",https://api.openalex.org/works?filter=cites:W2214916291
https://openalex.org/W2142766915,On the Performance of Clustering in Hilbert Spaces,"['https://openalex.org/A5007814380', 'https://openalex.org/A5070394029', 'https://openalex.org/A5034680608']","['https://openalex.org/W1510073064', 'https://openalex.org/W1564947197', 'https://openalex.org/W1576475658', 'https://openalex.org/W1634005169', 'https://openalex.org/W1971238646', 'https://openalex.org/W2042587503', 'https://openalex.org/W2050744541', 'https://openalex.org/W2060640288', 'https://openalex.org/W2063379007', 'https://openalex.org/W2066679806', 'https://openalex.org/W2077661892', 'https://openalex.org/W2086943813', 'https://openalex.org/W2087258353', 'https://openalex.org/W2088658556', 'https://openalex.org/W2089497633', 'https://openalex.org/W2111187851', 'https://openalex.org/W2130372459', 'https://openalex.org/W2131680270', 'https://openalex.org/W2137216203', 'https://openalex.org/W2145915448', 'https://openalex.org/W2146756121', 'https://openalex.org/W2147717514', 'https://openalex.org/W2156117587', 'https://openalex.org/W2161065057', 'https://openalex.org/W2176446742', 'https://openalex.org/W2979473749', 'https://openalex.org/W2983923309', 'https://openalex.org/W2989661724', 'https://openalex.org/W3022552533', 'https://openalex.org/W3105849782', 'https://openalex.org/W4230058301', 'https://openalex.org/W4251115686', 'https://openalex.org/W4254197176', 'https://openalex.org/W4293747882', 'https://openalex.org/W4300093168', 'https://openalex.org/W4301425558']","['https://openalex.org/W3186815950', 'https://openalex.org/W3124860551', 'https://openalex.org/W3036598453', 'https://openalex.org/W2564198485', 'https://openalex.org/W2551136488', 'https://openalex.org/W2311450085', 'https://openalex.org/W2293953271', 'https://openalex.org/W2202413591', 'https://openalex.org/W2188840951', 'https://openalex.org/W2040929534']",https://api.openalex.org/works?filter=cites:W2142766915
https://openalex.org/W2012933304,New insights into Approximate Bayesian Computation,"['https://openalex.org/A5007814380', 'https://openalex.org/A5079817811', 'https://openalex.org/A5051793615']","['https://openalex.org/W1546037769', 'https://openalex.org/W1564947197', 'https://openalex.org/W1594863551', 'https://openalex.org/W1603733602', 'https://openalex.org/W1793259860', 'https://openalex.org/W1966535443', 'https://openalex.org/W1971713783', 'https://openalex.org/W1979793013', 'https://openalex.org/W1987315804', 'https://openalex.org/W1991131012', 'https://openalex.org/W1996786220', 'https://openalex.org/W1998951954', 'https://openalex.org/W2003767009', 'https://openalex.org/W2005453967', 'https://openalex.org/W2006783977', 'https://openalex.org/W2008572210', 'https://openalex.org/W2023659163', 'https://openalex.org/W2024969179', 'https://openalex.org/W2034795216', 'https://openalex.org/W2035457324', 'https://openalex.org/W2040011853', 'https://openalex.org/W2043847415', 'https://openalex.org/W2044523229', 'https://openalex.org/W2050913223', 'https://openalex.org/W2053332694', 'https://openalex.org/W2056760934', 'https://openalex.org/W2059507684', 'https://openalex.org/W2067392831', 'https://openalex.org/W2071298126', 'https://openalex.org/W2086421081', 'https://openalex.org/W2089349283', 'https://openalex.org/W2096711655', 'https://openalex.org/W2116416291', 'https://openalex.org/W2118020555', 'https://openalex.org/W2138309709', 'https://openalex.org/W2139812092', 'https://openalex.org/W2144018496', 'https://openalex.org/W2146620998', 'https://openalex.org/W2151729750', 'https://openalex.org/W2962900370', 'https://openalex.org/W3036627574', 'https://openalex.org/W4231019019', 'https://openalex.org/W4245921302', 'https://openalex.org/W4256561644', 'https://openalex.org/W4292691288', 'https://openalex.org/W4295343116']","['https://openalex.org/W4245490552', 'https://openalex.org/W4225152035', 'https://openalex.org/W3002753104', 'https://openalex.org/W2911598644', 'https://openalex.org/W2748952813', 'https://openalex.org/W2077600819', 'https://openalex.org/W2061531152', 'https://openalex.org/W2007980826', 'https://openalex.org/W1979597421', 'https://openalex.org/W1587224694']",https://api.openalex.org/works?filter=cites:W2012933304
https://openalex.org/W1945743190,Probability estimation with machine learning methods for dichotomous and multicategory outcome: Theory,"['https://openalex.org/A5089172550', 'https://openalex.org/A5036144965', 'https://openalex.org/A5007814380', 'https://openalex.org/A5028420890', 'https://openalex.org/A5021703828', 'https://openalex.org/A5060440195', 'https://openalex.org/A5039626163']","['https://openalex.org/W1484867920', 'https://openalex.org/W1509515766', 'https://openalex.org/W1520812622', 'https://openalex.org/W1564947197', 'https://openalex.org/W1579616887', 'https://openalex.org/W1585021961', 'https://openalex.org/W1596201720', 'https://openalex.org/W1764447967', 'https://openalex.org/W1769120164', 'https://openalex.org/W1865423802', 'https://openalex.org/W1926248049', 'https://openalex.org/W1964357740', 'https://openalex.org/W1967689506', 'https://openalex.org/W1976106393', 'https://openalex.org/W1977406948', 'https://openalex.org/W1982032418', 'https://openalex.org/W1999822211', 'https://openalex.org/W2000032319', 'https://openalex.org/W2003585400', 'https://openalex.org/W2011864925', 'https://openalex.org/W2015745977', 'https://openalex.org/W2018144913', 'https://openalex.org/W2023163512', 'https://openalex.org/W2024046085', 'https://openalex.org/W2025720061', 'https://openalex.org/W2034106324', 'https://openalex.org/W2034280056', 'https://openalex.org/W2038845890', 'https://openalex.org/W2043924211', 'https://openalex.org/W2047066646', 'https://openalex.org/W2047081748', 'https://openalex.org/W2047278710', 'https://openalex.org/W2048181406', 'https://openalex.org/W2051177122', 'https://openalex.org/W2059507684', 'https://openalex.org/W2059989526', 'https://openalex.org/W2068852101', 'https://openalex.org/W2070230130', 'https://openalex.org/W2074619954', 'https://openalex.org/W2081243300', 'https://openalex.org/W2081403583', 'https://openalex.org/W2086623929', 'https://openalex.org/W2089394015', 'https://openalex.org/W2091374137', 'https://openalex.org/W2092260586', 'https://openalex.org/W2094126421', 'https://openalex.org/W2104787607', 'https://openalex.org/W2106972536', 'https://openalex.org/W2109472263', 'https://openalex.org/W2116444583', 'https://openalex.org/W2116581043', 'https://openalex.org/W2116660956', 'https://openalex.org/W2128207034', 'https://openalex.org/W2128944543', 'https://openalex.org/W2131771566', 'https://openalex.org/W2133191672', 'https://openalex.org/W2135990750', 'https://openalex.org/W2150555551', 'https://openalex.org/W2155224383', 'https://openalex.org/W2158001550', 'https://openalex.org/W2159484668', 'https://openalex.org/W2162974025', 'https://openalex.org/W2166198808', 'https://openalex.org/W2169006190', 'https://openalex.org/W2169439425', 'https://openalex.org/W2494169975', 'https://openalex.org/W2787894218', 'https://openalex.org/W2911964244', 'https://openalex.org/W3004732066', 'https://openalex.org/W3021842026', 'https://openalex.org/W3101040439', 'https://openalex.org/W3101477643', 'https://openalex.org/W3105340263', 'https://openalex.org/W3175417087', 'https://openalex.org/W4212883601', 'https://openalex.org/W4213286494', 'https://openalex.org/W4238049007', 'https://openalex.org/W4239448463', 'https://openalex.org/W4244166797', 'https://openalex.org/W4244313837', 'https://openalex.org/W4248936568', 'https://openalex.org/W657316482', 'https://openalex.org/W73642277']","['https://openalex.org/W4243114048', 'https://openalex.org/W4237896776', 'https://openalex.org/W4231665652', 'https://openalex.org/W4200234001', 'https://openalex.org/W3011239835', 'https://openalex.org/W2978999882', 'https://openalex.org/W2494119046', 'https://openalex.org/W2369306031', 'https://openalex.org/W2000242494', 'https://openalex.org/W1506113033']",https://api.openalex.org/works?filter=cites:W1945743190
https://openalex.org/W2794238513,Accelerated gradient boosting,"['https://openalex.org/A5007814380', 'https://openalex.org/A5055953629', 'https://openalex.org/A5068015700']","['https://openalex.org/W1549656520', 'https://openalex.org/W1564947197', 'https://openalex.org/W1570093865', 'https://openalex.org/W1678356000', 'https://openalex.org/W1988790447', 'https://openalex.org/W2024046085', 'https://openalex.org/W2030161963', 'https://openalex.org/W2035446310', 'https://openalex.org/W2067885219', 'https://openalex.org/W2070493638', 'https://openalex.org/W2070534370', 'https://openalex.org/W2088883866', 'https://openalex.org/W2100556411', 'https://openalex.org/W2124541940', 'https://openalex.org/W2124768887', 'https://openalex.org/W2167732364', 'https://openalex.org/W2172195373', 'https://openalex.org/W2787894218', 'https://openalex.org/W2911964244', 'https://openalex.org/W3098897816', 'https://openalex.org/W3098965260', 'https://openalex.org/W3099723433', 'https://openalex.org/W3124114587', 'https://openalex.org/W4206742934']","['https://openalex.org/W4389889055', 'https://openalex.org/W4311326873', 'https://openalex.org/W4310492845', 'https://openalex.org/W4293093830', 'https://openalex.org/W3204430031', 'https://openalex.org/W3137904399', 'https://openalex.org/W3127117601', 'https://openalex.org/W3108206494', 'https://openalex.org/W2967733078', 'https://openalex.org/W2141272333']",https://api.openalex.org/works?filter=cites:W2794238513
https://openalex.org/W50438144,Journal of Business Cycle Measurement and Analysis,"['https://openalex.org/A5007814380', 'https://openalex.org/A5001003326', 'https://openalex.org/A5068015700']","['https://openalex.org/W1527858715', 'https://openalex.org/W1568811257', 'https://openalex.org/W1991135386', 'https://openalex.org/W2054999418', 'https://openalex.org/W2114130660', 'https://openalex.org/W3125107430']","['https://openalex.org/W4312814274', 'https://openalex.org/W4285370786', 'https://openalex.org/W3207760230', 'https://openalex.org/W2536018345', 'https://openalex.org/W2358353312', 'https://openalex.org/W2353836703', 'https://openalex.org/W2296488620', 'https://openalex.org/W17155033', 'https://openalex.org/W1590307681', 'https://openalex.org/W1496222301']",https://api.openalex.org/works?filter=cites:W50438144
https://openalex.org/W2147261011,Functional Classification in Hilbert Spaces,"['https://openalex.org/A5007814380', 'https://openalex.org/A5021259214', 'https://openalex.org/A5057473211']","['https://openalex.org/W1562221892', 'https://openalex.org/W1564947197', 'https://openalex.org/W1610836425', 'https://openalex.org/W1967320885', 'https://openalex.org/W1986045603', 'https://openalex.org/W2000454470', 'https://openalex.org/W2004216344', 'https://openalex.org/W2014902932', 'https://openalex.org/W2022696058', 'https://openalex.org/W2043251591', 'https://openalex.org/W2059507684', 'https://openalex.org/W2069374968', 'https://openalex.org/W2089322632', 'https://openalex.org/W2091957352', 'https://openalex.org/W2099741732', 'https://openalex.org/W2103606254', 'https://openalex.org/W2121647436', 'https://openalex.org/W2122111042', 'https://openalex.org/W2134876488', 'https://openalex.org/W2135463994', 'https://openalex.org/W4205462863', 'https://openalex.org/W4233372644', 'https://openalex.org/W4256561644', 'https://openalex.org/W4293747882']","['https://openalex.org/W2356056792', 'https://openalex.org/W2147261011', 'https://openalex.org/W2112972328', 'https://openalex.org/W2105325102', 'https://openalex.org/W2099020009', 'https://openalex.org/W2062115615', 'https://openalex.org/W2048623688', 'https://openalex.org/W2023511209', 'https://openalex.org/W1980535956', 'https://openalex.org/W1605389914']",https://api.openalex.org/works?filter=cites:W2147261011
https://openalex.org/W2116504907,Supervised reconstruction of biological networks with local models,"['https://openalex.org/A5053413311', 'https://openalex.org/A5007814380', 'https://openalex.org/A5037864869']","['https://openalex.org/W1542652324', 'https://openalex.org/W1996920058', 'https://openalex.org/W2062649377', 'https://openalex.org/W2065304353', 'https://openalex.org/W2082875017', 'https://openalex.org/W2099862356', 'https://openalex.org/W2103453943', 'https://openalex.org/W2109715166', 'https://openalex.org/W2113654464', 'https://openalex.org/W2128817214', 'https://openalex.org/W2142237411', 'https://openalex.org/W2149310258', 'https://openalex.org/W2150926065', 'https://openalex.org/W2152568394', 'https://openalex.org/W2159944419', 'https://openalex.org/W2161444669', 'https://openalex.org/W2162422091', 'https://openalex.org/W2167869241', 'https://openalex.org/W2169805130', 'https://openalex.org/W2611370172']","['https://openalex.org/W2521885831', 'https://openalex.org/W2494457055', 'https://openalex.org/W2478888221', 'https://openalex.org/W2112534124', 'https://openalex.org/W2099991711', 'https://openalex.org/W2095452756', 'https://openalex.org/W2060724872', 'https://openalex.org/W1986505750', 'https://openalex.org/W1979360205', 'https://openalex.org/W15348386']",https://api.openalex.org/works?filter=cites:W2116504907
